Home,Study,People
Northern Territory,Australian Capital Territory,130
Tasmania,Australian Capital Territory,169
Tasmania,Northern Territory,178
Australian Capital Territory,Northern Territory,179
Tasmania,Western Australia,212
Northern Territory,Western Australia,215
Northern Territory,Tasmania,261
South Australia,Australian Capital Territory,367
Australian Capital Territory,Western Australia,370
Australian Capital Territory,Tasmania,413
Tasmania,South Australia,465
Australian Capital Territory,South Australia,528
Western Australia,Australian Capital Territory,543
Tasmania,Queensland,718
Northern Territory,South Australia,837
South Australia,Western Australia,851
Northern Territory,Queensland,875
Northern Territory,Victoria,930
South Australia,Tasmania,964
Queensland,Northern Territory,"1,005"
Australian Capital Territory,Queensland,"1,009"
Western Australia,Tasmania,"1,083"
Western Australia,Northern Territory,"1,092"
Northern Territory,New South Wales,"1,113"
Victoria,Northern Territory,"1,449"
South Australia,Northern Territory,"1,520"
Queensland,Australian Capital Territory,"1,581"
New South Wales,Northern Territory,"1,599"
Tasmania,New South Wales,"1,603"
Australian Capital Territory,Victoria,"1,866"
Victoria,Australian Capital Territory,"1,888"
Tasmania,Victoria,"1,916"
Western Australia,South Australia,"1,947"
South Australia,Queensland,"2,073"
Queensland,Western Australia,"2,156"
Victoria,Western Australia,"2,547"
South Australia,Victoria,"3,030"
Western Australia,Queensland,"3,241"
Victoria,Tasmania,"3,285"
Queensland,Tasmania,"3,697"
South Australia,New South Wales,"3,856"
Western Australia,Victoria,"4,125"
Northern Territory,Northern Territory,"4,448"
Queensland,South Australia,"5,303"
Western Australia,New South Wales,"5,863"
Australian Capital Territory,New South Wales,"5,922"
Victoria,Queensland,"5,948"
Victoria,South Australia,"6,541"
New South Wales,Tasmania,"7,229"
New South Wales,Western Australia,"7,546"
New South Wales,Australian Capital Territory,"7,676"
Queensland,Victoria,"8,587"
New South Wales,South Australia,"9,567"
New South Wales,Queensland,"10,515"
New South Wales,Victoria,"13,964"
Tasmania,Tasmania,"16,880"
Australian Capital Territory,Australian Capital Territory,"17,007"
Victoria,New South Wales,"20,141"
Queensland,New South Wales,"22,146"
South Australia,South Australia,"64,462"
Western Australia,Western Australia,"94,785"
Queensland,Queensland,"177,155"
Victoria,Victoria,"235,765"
New South Wales,New South Wales,"288,814"
